Mark,3-(018)421-4680,51511 Farwell Junction,Computer Engineer
Katherine,3-(469)183-7775,2897 Oriole Park,Biology
Walter,8-(003)343-8825,43 Quincy Alley,Math
Carol,1-(946)949-6207,133 Hayes Junction,Biology
Cynthia,2-(063)630-3738,95 Delaware Trail,Biology
Betty,6-(310)071-7224,11 Summit Trail,Math
Charles,7-(412)470-3592,693 Brown Pass,Computer Science
Mark,2-(601)707-2713,3 Rutledge Road,Math
Todd,4-(106)390-2354,4 Trailsway Junction,Biology
Betty,4-(143)623-9905,44 Esker Parkway,Math
Emily,6-(149)415-4590,3 Ridge Oak Park,Biology
Mary,0-(918)569-3982,948 Pond Park,Computer Science
Jerry,7-(319)295-1070,184 Reindahl Alley,Math
Cynthia,5-(524)473-9250,0671 Dakota Crossing,Biology
Bruce,2-(126)996-3928,1983 Londonderry Alley,Biology
Ernest,6-(846)268-1140,9 South Park,Biology
Marie,5-(934)163-7698,678 Ohio Point,Math
Marie,6-(718)425-9828,446 Holmberg Circle,Computer Science
Christina,6-(130)335-5024,85491 Declaration Terrace,Biology
Willie,2-(059)751-2415,6 Basil Parkway,Math
Louise,6-(767)816-1304,7103 Homewood Road,Computer Science
Robert,6-(821)304-4056,18794 Merry Lane,Computer Engineer
Andrew,2-(243)131-9817,98 Coolidge Trail,Biology
Ryan,7-(451)675-5952,2 Oakridge Court,Computer Science
Teresa,3-(629)842-6876,756 Havey Place,Computer Science
Roger,2-(123)404-7828,59 4th Place,Biology
Stephen,4-(171)108-1871,4247 North Road,Math
Adam,7-(503)676-3851,033 Namekagon Parkway,Biology
Randy,2-(828)446-6066,03 Amoth Crossing,Biology
Daniel,1-(125)766-1175,4938 Ilene Terrace,Computer Science
Eugene,3-(290)882-6222,7195 Garrison Street,Biology
Jeffrey,0-(559)987-8334,0 Hoard Terrace,Computer Engineer
Frances,2-(224)208-8962,31398 Carberry Circle,Biology
Jason,5-(173)191-1683,90 Cherokee Place,Computer Science
Linda,3-(419)615-0036,54 Arrowood Center,Biology
Sara,4-(195)537-4715,8747 Anderson Plaza,Computer Engineer
Judith,8-(915)149-4338,5 Coleman Alley,Computer Science
Earl,1-(350)581-5061,8 Londonderry Point,Biology
Nicole,5-(942)923-0828,8258 Stuart Avenue,Math
Alice,4-(165)736-2407,4658 Jay Pass,Computer Engineer
Andrea,1-(899)879-3847,439 Tomscot Hill,Biology
Dennis,7-(186)122-1942,456 Dahle Plaza,Math
Debra,0-(749)364-8793,8441 Marquette Alley,Computer Engineer
Teresa,0-(874)356-7662,86441 Dennis Park,Computer Engineer
Earl,9-(759)267-2977,2 Merrick Pass,Math
Chris,4-(701)518-5086,5569 Lindbergh Street,Computer Science
Carlos,7-(863)953-3983,97185 Fuller Lane,Computer Science
Randy,0-(532)228-9963,62331 Leroy Terrace,Computer Science
Tina,6-(343)217-1818,45 Orin Point,Computer Engineer
Martha,5-(601)051-4250,4854 Raven Way,Computer Engineer
